date,title,label,link
2023-09-28,Ice Breaker & Meet Up,DISC,
2023-10-03,Intro Lecture + Hands-on Python,CLSS,
2023-10-05,Hands-on Python Cont.,DISC
2023-10-10,Intermediate Python,CLSS,
2023-10-12,Intermediate Python Cont.,DISC,
2023-10-17,Embedded Python + BBC Microbits,CLSS,
2023-10-17,Reading 1,READ,
2023-10-19,Embedded Python Cont.,DISC,
2023-10-24,The Inch Worm + CTM,CLSS,
2023-10-24,Reading 2,READ,
2023-10-26,Inch Worm Project Cont.,DISC,
2023-10-31,Embodied Cognition,CLSS,
2023-10-31,Inch Worm Race,PROJ,
2023-11-02,Embodied project open studio,DISC,
2023-11-07,Embodied project open studio,CLSS,
2023-11-07,Reading 3,READ,
2023-11-09,Embodied project open studio,DISC,
2023-11-09,Embodied project demo due,PROJ,
2023-11-14,Extended Cognition,CLSS,
2023-11-14,Reading 4,READ,
2023-11-16,Extended project open studio,DISC,
2023-11-16,Extended project demo due,PROJ,
2023-11-21,Distributed project open studio,CLSS,
2023-11-21,Reading 5 & 6,READ,
2023-11-23,Thanksgiving Holiday,CNCL,
2023-11-28,Distributed project open studio,CLSS,
2023-11-30,Distributed project open studio,DISC,
2023-12-05,Distributed project Final Demos,PROJ,
2023-12-07,Discussion Section,CNCL,
2023-12-14,Final Essay Reports Due,PROJ,
