date,title,label,link
2023-04-04,No Discussion,CNCL,
2023-04-06,Activity 1 - Getting Started (In Class),CLSS,
2023-04-11,Discussion 1,DISC,
2023-04-12,Reading 1 Reflection Due,READ,
2023-04-12,Activity 1 Due,ACTV,
2023-04-13,Activity 2 - Computationalism (In Class),CLSS,
2023-04-18,Discussion 2,DISC,
2023-04-19,Reading 2 Reflection Due,READ,
2023-04-19,Activity 2 Due,ACTV,
2023-04-20,Activity 3 - Embodied Cognition (In Class),CLSS,
2023-04-25,Discussion 3,DISC,
2023-04-26,Reading 3 Reflection Due,READ,
2023-04-26,Activity 3 Due,ACTV,
2023-04-27,Activity 4 - Embedded Cognition (In Class),CLSS,
2023-05-02,Discussion 4,DISC,
2023-05-03,Activity 4 Due,ACTV,
2023-05-04,Activity 5 - Extended Cognition Pt1 (In Class),CLSS,
2023-05-09,Discussion 5,DISC,
2023-05-11,Activity 5 - Extended Cognition Pt2 (In Class),CLSS,
2023-05-16,Discussion 6,DISC,
2023-05-17,Reading 4 Reflection Due,READ,
2023-05-17,Activity 5 Due,ACTV,
2023-05-18,Activity Final - Distributed Cognition (In Class),CLSS,
2023-05-23,Discussion 7,DISC,
2023-05-25,Activity Final - Distributed Cognition (In Class),CLSS,
2023-05-30,Discussion 8,DISC,
2023-06-01,Activity Final - Distributed Cognition (In Class),CLSS,
2023-06-06,Discussion 9,DISC,
2023-06-08,Final Group Presentations,PROJ,
2023-06-13,No Final Exam,CNCL,
2023-06-13,Final Group Report Due,PROJ,
