date,title,label,link
2024-01-09,Week 1 Student Handout,CLSS,https://s3.us-west-2.amazonaws.com/ucsd.cogs8/student_weekly_modules/Week+1+Student+Handout+-+COGS+8.pdf
2024-01-11,Discussion Section,DISC,
2024-01-14,Course Intro Survey Due,HMWK,
2024-01-15,Python Notebook 1 Due,HMWK,
2024-01-16,Week 2 Student Handout,CLSS,https://s3.us-west-2.amazonaws.com/ucsd.cogs8/student_weekly_modules/Week+2+Student+Handout+-+COGS+8.pdf
2024-01-18,Discussion Section,DISC,
2024-01-21,InchWorm Code Due,HMWK,
2024-01-23,Week 3 Student Handout,CLSS,https://s3.us-west-2.amazonaws.com/ucsd.cogs8/student_weekly_modules/Week+3+Student+Handout+-+COGS+8.pdf
2024-01-25,Discussion Section,DISC,
2024-01-25,Quiz 1 Due,QUIZ,
2024-01-29,Quiz 2 Due,QUIZ,
2024-01-29,Embodied Code Due,HMWK,
2024-01-30,Week 4 Student Handout,CLSS,https://s3.us-west-2.amazonaws.com/ucsd.cogs8/student_weekly_modules/Week+4+Student+Handout+-+COGS+8.pdf
2024-02-01,Discussion Section,DISC,
2024-02-05,Quiz 3 Due,QUIZ,
2024-02-05,Python Notebook 2 Due,HMWK,
2024-02-05,Team Health Survey Due,HMWK,
2024-02-06,Week 5 Student Handout,CLSS,https://s3.us-west-2.amazonaws.com/ucsd.cogs8/student_weekly_modules/Week+5+Student+Handout+-+COGS+8.pdf
2024-02-08,Discussion Section,DISC,
2024-02-12,Quiz 4 Due,QUIZ,
2024-02-12,Embedded Code Due,HMWK,
2024-02-13,Week 6 Student Handout,CLSS,https://s3.us-west-2.amazonaws.com/ucsd.cogs8/student_weekly_modules/Week+6+Student+Handout+-+COGS+8.pdf
2024-02-15,Discussion Section,DISC,
2024-02-19,Quiz 5 Due,QUIZ,
2024-02-19,Robot Multiple Sigs Code Due,HMWK,
2024-02-20,Week 7 Student Handout,CLSS,https://s3.us-west-2.amazonaws.com/ucsd.cogs8/student_weekly_modules/Week+7+Student+Handout+-+COGS+8.pdf
2024-02-22,Discussion Section,DISC,
2024-02-26,Quiz 6 Due,QUIZ,
2024-02-26,Extended Code Due,HMWK,
2024-02-27,Week 8 Student Handout,CLSS,https://s3.us-west-2.amazonaws.com/ucsd.cogs8/student_weekly_modules/Week+8+Student+Handout+-+COGS+8.pdf
2024-02-29,Discussion Section,DISC,
2024-03-05,Week 9 Student Handout,CLSS,https://s3.us-west-2.amazonaws.com/ucsd.cogs8/student_weekly_modules/Week+9+Student+Handout+-+COGS+8.pdf
2024-03-07,Discussion Section,DISC,
2024-03-11,Quiz 7 Due,QUIZ,
2024-03-12,Week 10 Student Handout,CLSS,https://s3.us-west-2.amazonaws.com/ucsd.cogs8/student_weekly_modules/Week+10+Student+Handout+-+COGS+8.pdf
2024-03-12,Final Project Demo Day,PROJ,
2024-03-14,Cogs 8 Debrief,DISC
2024-03-21,Final Essay Reports Due,PROJ,
2024-03-21,Team Eval Due,HMWK,
2024-03-21,Course Post Survey Due,HMWK,
